epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,718.524,1.79709,2.95633,1.35759,0.82272,0.26502,0.2799,0.1385,1.91672,2.13379,1.48601,0.0033315,0.0033315,0.0033315
2,1448.91,1.78116,1.55945,1.35529,0.37169,0.28426,0.32748,0.15942,1.90017,1.72403,1.40005,0.00659886,0.00659886,0.00659886
3,2139,1.81977,1.46435,1.41477,0.83624,0.316,0.33326,0.16471,1.79575,1.44842,1.41769,0.00980021,0.00980021,0.00980021
4,2825.26,1.82389,1.41037,1.4363,0.36687,0.3216,0.36249,0.17246,1.8398,1.3939,1.44514,0.009703,0.009703,0.009703
5,3488.75,1.7714,1.28294,1.40209,0.40173,0.37253,0.41452,0.21352,1.75003,1.16738,1.39596,0.009604,0.009604,0.009604
6,4043.52,1.73502,1.20694,1.37642,0.40172,0.36039,0.40716,0.21316,1.72872,1.18373,1.36076,0.009505,0.009505,0.009505
7,4420.83,1.71593,1.17969,1.36546,0.41528,0.37973,0.42646,0.22654,1.71883,1.06485,1.39116,0.009406,0.009406,0.009406
8,4891.12,1.70395,1.13445,1.35581,0.41534,0.38837,0.43098,0.22561,1.71979,1.05136,1.36947,0.009307,0.009307,0.009307
9,5439.01,1.68285,1.10736,1.34023,0.43017,0.39419,0.44173,0.23324,1.68649,0.98471,1.34334,0.009208,0.009208,0.009208
10,5694.68,1.66962,1.08277,1.32952,0.42327,0.40865,0.44557,0.23928,1.66498,0.96864,1.3459,0.009109,0.009109,0.009109
11,6036.62,1.67283,1.06679,1.33102,0.41868,0.41019,0.4455,0.2407,1.66633,0.94417,1.34718,0.00901,0.00901,0.00901
12,6675.96,1.65248,1.03124,1.31198,0.4259,0.41863,0.45094,0.24652,1.65145,0.90347,1.3253,0.008911,0.008911,0.008911
13,7309.36,1.64693,1.01497,1.31051,0.43329,0.41632,0.45469,0.24795,1.65098,0.89144,1.3199,0.008812,0.008812,0.008812
14,7989.71,1.64267,1.0096,1.30304,0.93752,0.41811,0.45723,0.25571,1.61821,0.87021,1.30374,0.008713,0.008713,0.008713
15,8686.73,1.62037,0.99362,1.29013,0.43717,0.42685,0.45918,0.25615,1.61009,0.8674,1.29218,0.008614,0.008614,0.008614
16,9100.82,1.61514,0.9816,1.28633,0.44287,0.42665,0.46184,0.25851,1.61389,0.84009,1.30325,0.008515,0.008515,0.008515
17,9350.55,1.60889,0.96386,1.28818,0.44411,0.43323,0.46586,0.26366,1.60123,0.81194,1.29643,0.008416,0.008416,0.008416
18,9672.74,1.60455,0.95258,1.2801,0.44775,0.43557,0.46691,0.26498,1.59194,0.81163,1.27483,0.008317,0.008317,0.008317
19,10003.3,1.59863,0.93972,1.27424,0.45124,0.43272,0.46731,0.26671,1.58983,0.78695,1.27453,0.008218,0.008218,0.008218
20,10330.2,1.59908,0.93904,1.27392,0.9512,0.43752,0.48898,0.27243,1.57645,0.77807,1.26309,0.008119,0.008119,0.008119
21,10657.4,1.59923,0.92865,1.26993,0.45406,0.44167,0.471,0.26942,1.57661,0.76595,1.26184,0.00802,0.00802,0.00802
22,10983.1,1.5906,0.92046,1.26726,0.45779,0.44177,0.47221,0.27198,1.57498,0.74917,1.26188,0.007921,0.007921,0.007921
23,11335.5,1.58642,0.90326,1.26065,0.95894,0.44177,0.47404,0.27337,1.5705,0.73968,1.2599,0.007822,0.007822,0.007822
24,11656.6,1.57521,0.90439,1.25046,0.46188,0.43961,0.47503,0.2755,1.55893,0.73054,1.25189,0.007723,0.007723,0.007723
25,11993.2,1.57691,0.89473,1.25171,0.96183,0.44309,0.54827,0.3165,1.56093,0.7217,1.2509,0.007624,0.007624,0.007624
26,12315.6,1.57871,0.89045,1.24832,0.96121,0.44547,0.50434,0.29246,1.55852,0.71633,1.24331,0.007525,0.007525,0.007525
27,12645.3,1.56951,0.87615,1.24763,0.96373,0.44558,0.54288,0.30766,1.55725,0.71021,1.24368,0.007426,0.007426,0.007426
28,12972,1.55554,0.87297,1.24567,0.96203,0.44969,0.52772,0.30447,1.55181,0.70526,1.24335,0.007327,0.007327,0.007327
29,13301.4,1.55671,0.86651,1.2421,0.96228,0.45136,0.51861,0.30261,1.54576,0.70133,1.23976,0.007228,0.007228,0.007228
30,13630.3,1.544,0.85763,1.23314,0.96339,0.44923,0.52528,0.30777,1.54271,0.69644,1.23725,0.007129,0.007129,0.007129
31,13959.4,1.53971,0.84656,1.23339,0.96218,0.45255,0.50517,0.29625,1.54107,0.69063,1.23644,0.00703,0.00703,0.00703
32,14288.1,1.5462,0.84685,1.23211,0.96491,0.45298,0.5019,0.29457,1.53851,0.68583,1.23444,0.006931,0.006931,0.006931
33,14616.3,1.54162,0.83909,1.23341,0.96596,0.45185,0.49672,0.29307,1.53637,0.68142,1.23384,0.006832,0.006832,0.006832
34,14935.8,1.53037,0.83326,1.21895,0.96565,0.45309,0.49579,0.29328,1.53299,0.67627,1.23065,0.006733,0.006733,0.006733
35,15261.5,1.54104,0.82942,1.22607,0.96396,0.45658,0.49493,0.29266,1.5319,0.67236,1.22961,0.006634,0.006634,0.006634
36,15580.3,1.53413,0.82433,1.22318,0.96389,0.45689,0.49609,0.29364,1.53101,0.66873,1.22808,0.006535,0.006535,0.006535
37,15896.1,1.5367,0.81342,1.22314,0.96515,0.45638,0.49759,0.29438,1.52995,0.66457,1.22707,0.006436,0.006436,0.006436
38,16225.9,1.52556,0.82085,1.22187,0.96502,0.45674,0.49585,0.29365,1.52898,0.66174,1.22655,0.006337,0.006337,0.006337
39,16551.7,1.5203,0.80208,1.21975,0.96693,0.45616,0.49617,0.29355,1.52785,0.65932,1.22585,0.006238,0.006238,0.006238
40,16877.9,1.52135,0.80733,1.21544,0.96782,0.45586,0.49528,0.29283,1.5264,0.65724,1.22464,0.006139,0.006139,0.006139
41,17205.6,1.51559,0.80157,1.21363,0.96714,0.45783,0.49569,0.29318,1.52489,0.655,1.22391,0.00604,0.00604,0.00604
42,17533.8,1.51262,0.79032,1.21234,0.96672,0.45876,0.49542,0.2936,1.52334,0.65304,1.22291,0.005941,0.005941,0.005941
43,17863.2,1.51152,0.78543,1.20355,0.96671,0.45905,0.4958,0.29419,1.52244,0.65041,1.22184,0.005842,0.005842,0.005842
44,18192.3,1.50089,0.77331,1.20128,0.96643,0.45916,0.49573,0.29406,1.52094,0.6478,1.22043,0.005743,0.005743,0.005743
45,18522.5,1.5109,0.78419,1.21211,0.96712,0.45988,0.49566,0.29403,1.52,0.64549,1.2199,0.005644,0.005644,0.005644
46,18850.9,1.50068,0.77346,1.20084,0.96883,0.45966,0.4958,0.29428,1.51907,0.64352,1.21909,0.005545,0.005545,0.005545
47,19180.2,1.49699,0.76439,1.19637,0.9695,0.4607,0.49601,0.29523,1.51817,0.64085,1.21803,0.005446,0.005446,0.005446
48,19508.7,1.49613,0.7655,1.19745,0.96971,0.46109,0.49617,0.29568,1.51776,0.6381,1.21704,0.005347,0.005347,0.005347
49,19840.4,1.49908,0.76077,1.19835,0.9693,0.46214,0.49614,0.29617,1.51732,0.63519,1.21636,0.005248,0.005248,0.005248
50,20173.3,1.48047,0.75979,1.18804,0.96969,0.46214,0.49693,0.29668,1.5159,0.63329,1.21522,0.005149,0.005149,0.005149
51,20499.7,1.48781,0.75476,1.19146,0.96982,0.46285,0.49777,0.29795,1.51526,0.63086,1.21456,0.00505,0.00505,0.00505
52,20834.1,1.48801,0.74946,1.1925,0.96934,0.46295,0.49714,0.29732,1.51439,0.62861,1.21341,0.004951,0.004951,0.004951
53,21163.9,1.48167,0.74904,1.1836,0.96875,0.46443,0.49769,0.29762,1.51433,0.62608,1.21246,0.004852,0.004852,0.004852
54,21497.3,1.47075,0.74217,1.18345,0.96913,0.46433,0.49797,0.29794,1.51406,0.62398,1.21145,0.004753,0.004753,0.004753
55,21824,1.47397,0.73834,1.18378,0.96962,0.46442,0.50065,0.29957,1.51322,0.62164,1.21058,0.004654,0.004654,0.004654
56,22152,1.464,0.73457,1.18093,0.96983,0.46512,0.50109,0.30001,1.51216,0.61979,1.20963,0.004555,0.004555,0.004555
57,22476.2,1.46061,0.7258,1.17334,0.9712,0.4646,0.50157,0.30037,1.51158,0.6179,1.2086,0.004456,0.004456,0.004456
58,22806.6,1.46719,0.72551,1.17564,0.97166,0.46502,0.50513,0.30254,1.51062,0.61638,1.20762,0.004357,0.004357,0.004357
59,23134.5,1.46309,0.71627,1.17557,0.97187,0.46492,0.50736,0.30307,1.50978,0.6143,1.20663,0.004258,0.004258,0.004258
60,23459.5,1.45771,0.7104,1.1756,0.97231,0.46451,0.50715,0.30375,1.5086,0.61173,1.20567,0.004159,0.004159,0.004159
61,23785.3,1.44753,0.71085,1.16973,0.9728,0.46489,0.50792,0.3048,1.50752,0.60959,1.20465,0.00406,0.00406,0.00406
62,24109.2,1.45217,0.70945,1.17129,0.97254,0.46543,0.50793,0.30492,1.50667,0.60733,1.2038,0.003961,0.003961,0.003961
63,24440,1.44462,0.6993,1.16598,0.97328,0.46605,0.50829,0.30583,1.50608,0.60461,1.20301,0.003862,0.003862,0.003862
64,24766.3,1.44112,0.6965,1.16636,0.97391,0.46687,0.50862,0.30625,1.50489,0.60237,1.20203,0.003763,0.003763,0.003763
65,25091.1,1.43851,0.69276,1.16332,0.97402,0.46687,0.50795,0.30599,1.50379,0.59984,1.20109,0.003664,0.003664,0.003664
66,25418.5,1.43894,0.68495,1.16297,0.97383,0.46708,0.5075,0.30639,1.50288,0.59739,1.20013,0.003565,0.003565,0.003565
67,25742.2,1.43564,0.6794,1.16249,0.97402,0.46747,0.50753,0.30662,1.50227,0.59517,1.19958,0.003466,0.003466,0.003466
68,26069.3,1.42914,0.68215,1.16233,0.97496,0.468,0.50754,0.30685,1.50105,0.59282,1.19879,0.003367,0.003367,0.003367
69,26398.7,1.4325,0.67961,1.16297,0.97546,0.46811,0.50787,0.30706,1.50008,0.59071,1.19801,0.003268,0.003268,0.003268
70,26724.4,1.42929,0.67131,1.16337,0.97576,0.4685,0.50867,0.30778,1.49877,0.58796,1.19724,0.003169,0.003169,0.003169
71,27050.1,1.42553,0.67327,1.15326,0.97556,0.46934,0.50894,0.30837,1.49763,0.58568,1.19616,0.00307,0.00307,0.00307
72,27381.6,1.42074,0.6619,1.15318,0.97551,0.46943,0.50811,0.30811,1.49629,0.583,1.19516,0.002971,0.002971,0.002971
73,27705.3,1.41522,0.66383,1.14935,0.97634,0.46975,0.50785,0.30807,1.49454,0.58078,1.19398,0.002872,0.002872,0.002872
74,28028.2,1.40965,0.65706,1.1484,0.97573,0.47058,0.50791,0.3085,1.4933,0.57856,1.19291,0.002773,0.002773,0.002773
75,28356.5,1.41576,0.65767,1.14781,0.97556,0.47052,0.50741,0.30862,1.49184,0.57648,1.1918,0.002674,0.002674,0.002674
76,28675.8,1.39497,0.64338,1.13892,0.97595,0.47035,0.50776,0.30938,1.49037,0.574,1.19072,0.002575,0.002575,0.002575
77,28994.6,1.40052,0.65057,1.14592,0.97635,0.47031,0.50719,0.30986,1.48883,0.57184,1.1898,0.002476,0.002476,0.002476
78,29317.8,1.39893,0.64053,1.14621,0.97676,0.47017,0.50725,0.31046,1.4878,0.56972,1.18889,0.002377,0.002377,0.002377
79,29647.5,1.39185,0.63564,1.14065,0.97787,0.47041,0.50759,0.31064,1.48629,0.56745,1.18801,0.002278,0.002278,0.002278
80,29968,1.39014,0.63629,1.13786,0.97769,0.47095,0.50825,0.31133,1.48554,0.56533,1.18715,0.002179,0.002179,0.002179
81,30295.4,1.37925,0.62707,1.13261,0.97701,0.4717,0.50776,0.31138,1.48435,0.56305,1.18617,0.00208,0.00208,0.00208
82,30627.5,1.38231,0.62654,1.13569,0.97554,0.47464,0.50887,0.31259,1.48271,0.56091,1.18509,0.001981,0.001981,0.001981
83,30949.8,1.37352,0.6185,1.12424,0.97682,0.47376,0.50882,0.31347,1.48154,0.55932,1.18397,0.001882,0.001882,0.001882
84,31275.5,1.37332,0.61432,1.1263,0.97753,0.47429,0.50951,0.31397,1.48061,0.55753,1.18291,0.001783,0.001783,0.001783
85,31604.3,1.36621,0.60834,1.12547,0.9778,0.47435,0.50977,0.31438,1.47934,0.55572,1.18197,0.001684,0.001684,0.001684
86,31932.3,1.3661,0.60572,1.12359,0.97836,0.4743,0.50979,0.31479,1.47822,0.55392,1.18114,0.001585,0.001585,0.001585
87,32257.9,1.35561,0.60223,1.11954,0.97916,0.474,0.50997,0.31531,1.47704,0.55188,1.17997,0.001486,0.001486,0.001486
88,32585.5,1.35918,0.60172,1.11965,0.97931,0.47421,0.50952,0.31538,1.47566,0.5501,1.17896,0.001387,0.001387,0.001387
89,32915.5,1.35011,0.60054,1.12083,0.97898,0.47453,0.5091,0.3157,1.47442,0.54794,1.1781,0.001288,0.001288,0.001288
90,33269.1,1.35215,0.59549,1.11349,0.97777,0.4758,0.50921,0.31618,1.4733,0.54623,1.17699,0.001189,0.001189,0.001189
91,33528.9,1.31439,0.51094,1.12642,0.97837,0.4763,0.50919,0.3164,1.47214,0.54444,1.17585,0.00109,0.00109,0.00109
92,33819.9,1.30238,0.50043,1.12328,0.97722,0.47796,0.51024,0.3173,1.47137,0.54305,1.17506,0.000991,0.000991,0.000991
93,34128.2,1.29577,0.49409,1.12085,0.97787,0.47806,0.51063,0.31791,1.47007,0.54132,1.17424,0.000892,0.000892,0.000892
94,34435.2,1.2885,0.49054,1.11742,0.97826,0.47799,0.51072,0.31854,1.46881,0.53938,1.17357,0.000793,0.000793,0.000793
95,34742.9,1.28653,0.48705,1.11319,0.97883,0.47818,0.50991,0.3183,1.4673,0.53772,1.17273,0.000694,0.000694,0.000694
96,35057.3,1.27808,0.48142,1.10467,0.97892,0.47893,0.50978,0.31843,1.46626,0.53592,1.17207,0.000595,0.000595,0.000595
97,35361.6,1.27255,0.47619,1.103,0.98016,0.47897,0.51037,0.31911,1.46536,0.53422,1.17124,0.000496,0.000496,0.000496
98,35668,1.26416,0.47142,1.10032,0.97141,0.4785,0.51059,0.31975,1.46422,0.5327,1.17039,0.000397,0.000397,0.000397
99,35978.2,1.25909,0.47146,1.09906,0.96261,0.47857,0.51062,0.32034,1.46319,0.53101,1.16977,0.000298,0.000298,0.000298
100,36292.6,1.25359,0.46465,1.09814,0.95839,0.4787,0.51063,0.32042,1.46192,0.52969,1.16907,0.000199,0.000199,0.000199
